t,err_vx,err_vy,err_lin,err_yaw
8.580163,0.064590,-0.027550,0.070220,-0.288850
8.600182,0.077694,-0.056610,0.096130,-0.188916
8.619755,0.107165,-0.066322,0.126028,-0.100670
8.639861,0.128229,-0.057976,0.140726,-0.105086
8.659971,0.148524,-0.075558,0.166639,-0.053835
8.680208,0.181102,-0.121418,0.218037,-0.048941
8.699963,0.198694,-0.074209,0.212100,0.589985
8.719802,0.215751,-0.091956,0.234530,0.303621
8.739880,0.237699,-0.141686,0.276723,0.274922
8.759870,0.252257,-0.170403,0.304419,0.799011
8.779900,0.203959,-0.053833,0.210944,0.572730
8.799971,0.173008,-0.079976,0.190599,-0.179437
8.819868,0.152984,-0.088179,0.176578,-0.373437
8.839868,0.135245,-0.043637,0.142111,-0.210425
8.859854,0.155147,0.023629,0.156936,-0.080274
8.880045,0.097344,0.043412,0.106585,0.188231
8.899996,0.049494,0.024011,0.055011,0.028082
8.919930,0.029967,-0.066006,0.072490,0.193724
8.939862,0.004981,-0.006762,0.008399,0.247715
8.959983,-0.031181,0.040323,0.050973,0.340122
8.980012,-0.047274,0.049547,0.068482,0.202059
9.000158,-0.092773,0.042863,0.102196,0.139878
9.019846,-0.120359,0.047731,0.129478,0.027635
9.040033,-0.135937,0.066072,0.151144,-0.056003
9.060058,-0.174210,0.048381,0.180803,-0.148486
9.080045,-0.155257,0.039737,0.160262,-0.073979
9.100046,-0.106604,0.017743,0.108070,-0.003629
9.119988,-0.057560,0.036446,0.068128,-0.095180
9.139901,-0.043553,0.041169,0.059931,0.023485
9.159843,-0.011308,0.045766,0.047142,-0.033919
9.180066,0.030887,0.056783,0.064640,-0.087866
9.200276,0.051010,0.041145,0.065536,-0.100464
9.219878,0.079621,0.056629,0.097705,-0.035617
9.239909,0.106863,0.057971,0.121574,0.037380
9.259917,0.120697,0.056168,0.133126,0.089620
9.280125,0.148874,0.049450,0.156872,0.131838
9.299912,0.172038,0.033583,0.175285,0.262053
9.320167,0.196266,0.037085,0.199739,0.244863
9.339822,0.227738,0.016497,0.228335,0.330463
9.359766,0.251478,0.009511,0.251658,0.404154
9.379980,0.274748,0.020603,0.275519,0.469794
9.399983,0.274771,0.022655,0.275703,0.707625
9.419884,0.227438,0.018785,0.228212,0.610602
9.439905,0.179456,0.031391,0.182181,0.385195
9.459905,0.145794,0.083623,0.168073,0.503653
9.479915,0.142082,0.079618,0.162869,0.414433
9.500208,0.130902,0.135010,0.188051,0.107473
9.519918,0.119500,0.159149,0.199019,-0.156372
9.539847,0.085026,0.060571,0.104395,-0.296842
9.559879,0.045930,0.061810,0.077007,-0.119918
9.579954,-0.148753,-0.080828,0.169294,0.334323
9.599863,-0.021287,0.100937,0.103157,-0.055580
9.619941,-0.065209,0.095425,0.115577,-0.094380
9.639914,-0.084140,0.111729,0.139867,-0.071303
9.659912,-0.122644,0.113025,0.166782,-0.182034
9.680219,-0.148893,0.110806,0.185599,-0.141492
9.700220,-0.199427,0.111929,0.228690,-0.175935
9.719758,-0.174001,0.085854,0.194029,-0.057056
9.739871,-0.140110,0.081139,0.161908,-0.134791
9.759927,-0.118872,0.065295,0.135624,-0.098226
